id,municipality,school,ownership,ownershipCategory,grades,specialSchool,pupils,registryUpdated,testGrade,testYear,reading,maths,english,readingUncertainty,mathsUncertainty,englishUncertainty,surveyGrade,wellbeing,wellbeingYear,bullying,bullyingYear,bullyingStatus,pupilsPerTeacher,teacherRatioYear,grade10Points,pointsYear,notes,sourceUrl,organisationNumber,showOnMap,excelRowVisible,latitude,longitude,address,sourceWorkbookRow
925640409,Sandnes,Kleivane skole,Offentlig,public,1–7,False,331,2026-09-13,5,2025-26,50,54,53,2.8,2.7,3.2,7,4.8,2025-26,,,Suppressed,12.63,2025-26,,,,https://skoleoversikten.no/skoler/925640409/kleivane-skole,925640409,True,True,58.83847,5.775,"Skaraveien 100, 4326 SANDNES",17
974611805,Stavanger,Gausel skole,Offentlig,public,1–7,False,503,2026-09-13,5,2025-26,53,53,54,1.9,2.7,2.4,7,4.2,2025-26,11.3,2025-26,Published,14.85,2025-26,,,,https://skoleoversikten.no/skoler/974611805/gausel-skole,974611805,True,True,58.89839,5.73383,"Gauselbakken 103, 4032 STAVANGER",18
974611597,Stavanger,Kannik skole,Offentlig,public,8–10,False,677,2026-09-13,8,2025-26,52,53,54,1.2,1.1,1.2,10,4,2025-26,10.9,2025-26,Published,19.9,2025-26,43.3,2025-26,,https://skoleoversikten.no/skoler/974611597/kannik-skole,974611597,False,False,58.96448,5.72217,"St. Svithuns gate 40, 4009 STAVANGER",19
974610787,Sandnes,Sandved skole,Offentlig,public,1–7,False,711,2026-09-13,5,2025-26,52,53,53,1.9,1.8,1.9,7,4.3,2025-26,6.5,2024-25,Suppressed,14.73,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/974610787/sandved-skole,974610787,True,True,58.84072,5.71629,"Gamle Asheimvei 9, 4318 SANDNES",20
982980712,Sandnes,Smeaheia skole,Offentlig,public,1–7,False,340,2026-09-13,5,2025-26,49,53,53,2.9,3.1,3,7,4.2,2025-26,13.3,2023-24,Suppressed,14.9,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/982980712/smeaheia-skole,982980712,True,True,58.86341,5.72287,"Kjærholen 5, 4316 SANDNES",21
974611511,Stavanger,Jåtten skole,Offentlig,public,1–7,False,605,2026-09-13,5,2025-26,49,53,53,2,2.1,2.4,7,4.1,2025-26,13.0,2025-26,Published,14.99,2025-26,,,,https://skoleoversikten.no/skoler/974611511/jatten-skole,974611511,True,True,58.91515,5.72432,"Ordfører Askelands gate 11, 4020 STAVANGER",22
983618979,Stavanger,Vikevåg skule,Offentlig,public,1–7,False,217,2026-09-13,5,2025-26,48,53,51,3.2,3.8,3.7,7,4.2,2025-26,,,Suppressed,15.17,2025-26,,,,https://skoleoversikten.no/skoler/983618979/vikevag-skule,983618979,False,False,59.10359,5.69861,"Sørbøveien 6, 4150 RENNESØY",23
974611619,Stavanger,Tastaveden skole,Offentlig,public,8–10,False,317,2026-09-13,8,2025-26,50,49,54,1.9,2,1.7,10,4.1,2025-26,14.099999999999998,2025-26,Published,18.24,2025-26,40.7,2025-26,,https://skoleoversikten.no/skoler/974611619/tastaveden-skole,974611619,False,False,58.97967,5.70084,"Soltunveien 30, 4026 STAVANGER",24
974611473,Stavanger,Auglend skole,Offentlig,public,1–10,False,499,2026-09-13,5,2025-26,52,52,52,2.5,2.1,2.4,7,4.2,2025-26,18.2,2025-26,Published,13.3,2025-26,,,,https://skoleoversikten.no/skoler/974611473/auglend-skole,974611473,True,True,58.94713,5.72569,"Hjalmar Johansens gate 32, 4019 STAVANGER",25
998211794,Stavanger,Kristen friskole AS,Privat,private,1–10,False,325,2026-09-13,5,2025-26,52,52,,3.4,3.1,,7,3.9,2024-25,32.0,2024-25,Not available,18.52,2025-26,48.2,2025-26,Bullying uses older published year; Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/998211794/kristen-friskole-as,998211794,False,False,58.95177,5.70301,"Tjensvollveien 46, 4021 STAVANGER",26
816578892,Sandnes,Wang Ung Sandnes AS,Privat,private,8–10,False,180,2026-07-15,8,2025-26,54,54,53,2.3,2.3,1.9,10,4.5,2025-26,,,Suppressed,24.23,2025-26,46.3,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/816578892/wang-ung-sandnes-as,816578892,False,False,58.85992,5.72297,"Jønningsheiveien 42, 4316 SANDNES",27
977506077,Stavanger,Teinå skole,Offentlig,public,1–7,False,331,2026-09-13,5,2025-26,51,52,56,2.1,2.5,2.5,7,3.9,2025-26,8.7,2024-25,Suppressed,14.48,2025-26,42.6,2013-14,Bullying uses older published year,https://skoleoversikten.no/skoler/977506077/teina-skole,977506077,True,True,58.98981,5.68228,"Eldfiskbakken 11, 4028 STAVANGER",28
974611341,Stavanger,Godeset skole,Offentlig,public,1–7,False,287,2026-08-12,5,2025-26,51,52,54,2.3,3,3.2,7,4,2025-26,16.7,2023-24,Suppressed,15.25,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/974611341/godeset-skole,974611341,True,True,58.90037,5.71442,"Folkvangveien 50, 4034 STAVANGER",29
980203883,Sandnes,Forus friskole - Bus,Privat,private,1–10,False,149,2026-09-13,5,2025-26,51,52,,5.2,7,,7,3.8,2025-26,,,Suppressed,14.57,2025-26,46.3,2025-26,Private: check curriculum and language before comparing,https://skoleoversikten.no/skoler/980203883/forus-friskole-bus,980203883,False,False,58.88313,5.73925,"Prinsens vei 3, 4315 SANDNES",30
979847548,Sandnes,Bogafjell skole,Offentlig,public,1–7,False,403,2026-07-15,5,2025-26,50,52,53,2.6,2.4,2.3,7,4.2,2025-26,13.200000000000001,2025-26,Published,14.78,2025-26,41.3,2010-11,,https://skoleoversikten.no/skoler/979847548/bogafjell-skole,979847548,True,True,58.82116,5.75067,"Bogafjellbakken 1, 4324 SANDNES",31
974611244,Stavanger,Austbø skole,Offentlig,public,8–10,False,278,2026-09-13,8,2025-26,50,52,53,1.6,1.8,1.7,10,4,2025-26,16.9,2025-26,Published,16.51,2025-26,43.6,2025-26,,https://skoleoversikten.no/skoler/974611244/austbo-skole,974611244,False,False,58.9953,5.73553,"Austbøsvingene 50, 4085 HUNDVÅG",32
974611562,Stavanger,Madlamark skole,Offentlig,public,1–10,False,369,2026-09-13,5,2025-26,50,52,52,2.5,2.7,2.6,7,3.9,2025-26,14.000000000000002,2025-26,Published,16.68,2025-26,,,Registry lists 1–10 but no grade-8 test records; verify actual grade range,https://skoleoversikten.no/skoler/974611562/madlamark-skole,974611562,True,True,58.95026,5.67873,"Rappveien 17, 4041 HAFRSFJORD",33
974611686,Stavanger,Gosen skole,Offentlig,public,8–10,False,328,2026-07-15,8,2025-26,50,51,53,2,2.1,1.7,10,4.1,2025-26,11.3,2025-26,Published,18.57,2025-26,45.6,2025-26,,https://skoleoversikten.no/skoler/974611686/gosen-skole,974611686,False,False,58.94099,5.68416,"Sophus Bugges gate 13, 4041 HAFRSFJORD",34
974611600,Stavanger,Hinna skole,Offentlig,public,8–10,False,281,2026-09-13,8,2025-26,50,51,53,2,1.5,1.9,10,4.2,2025-26,5.2,2025-26,Published,16.78,2025-26,44.6,2025-26,,https://skoleoversikten.no/skoler/974611600/hinna-skole,974611600,False,False,58.91783,5.72237,"Ordfører Tveteraas gate 11, 4020 STAVANGER",35
974611651,Stavanger,Kristianslyst skole,Offentlig,public,8–10,False,522,2026-09-13,8,2025-26,50,51,53,1.5,1.4,1.4,10,4.2,2025-26,7.400000000000001,2025-26,Published,19.78,2025-26,44.4,2025-26,,https://skoleoversikten.no/skoler/974611651/kristianslyst-skole,974611651,False,False,58.93773,5.73433,"Skolevollen 17, 4017 STAVANGER",36
874735582,Stavanger,Gautesete skole,Offentlig,public,8–10,False,360,2026-09-13,8,2025-26,50,49,53,1.6,1.7,1.7,10,4.2,2025-26,10.2,2025-26,Published,18.73,2025-26,43.6,2025-26,,https://skoleoversikten.no/skoler/874735582/gautesete-skole,874735582,False,False,58.89919,5.72318,"Heddeveien 143, 4034 STAVANGER",37
974611481,Stavanger,Ullandhaug skole,Offentlig,public,8–10,False,324,2026-09-13,8,2025-26,50,49,53,1.7,1.7,1.7,10,3.9,2025-26,10.3,2025-26,Published,18.86,2025-26,41.9,2025-26,,https://skoleoversikten.no/skoler/974611481/ullandhaug-skole,974611481,False,False,58.95014,5.72398,"Hjalmar Johansens gate 13, 4019 STAVANGER",38
874611832,Stavanger,Skeie skole,Offentlig,public,1–7,False,411,2026-09-13,5,2025-26,49,52,54,2.2,2.8,2.3,7,3.7,2025-26,21.2,2025-26,Published,14.12,2025-26,,,,https://skoleoversikten.no/skoler/874611832/skeie-skole,874611832,True,True,59.00235,5.72701,"Terje Vigens vei 1, 4083 HUNDVÅG",39
974610841,Sandnes,Hommersåk skole,Offentlig,public,1–7,False,177,2026-09-13,5,2025-26,49,52,50,3.3,3.5,3.2,7,4.3,2025-26,,,Suppressed,19.81,2025-26,,,,https://skoleoversikten.no/skoler/974610841/hommersak-skole,974610841,False,False,58.92608,5.8496,"Riskaveien 7, 4310 HOMMERSÅK",40
975299112,Sola,Storevarden skole,Offentlig,public,1–7,False,442,2026-09-13,5,2025-26,48,52,53,2.1,2.3,2.6,7,4,2025-26,15.2,2023-24,Suppressed,15.2,2025-26,,,Bullying uses older published year,https://skoleoversikten.no/skoler/975299112/storevarden-skole,975299112,False,False,58.93896,5.57718,"Storevardvegen 13, 4056 TANANGER",41
925910325,Sola,Kjerrberget ungdomsskole,Offentlig,public,8–10,False,308,2026-08-12,8,2025-26,51,53,54,1.6,1.9,1.6,10,3.9,2025-26,5.4,2025-26,Published,19.07,2025-26,43.4,2025-26,,https://skoleoversikten.no/skoler/925910325/kjerrberget-ungdomsskole,925910325,False,False,58.88483,5.66999,"Skadbergbakken 79, 4050 SOLA",42
974610914,Sandnes,Høyland ungdomsskole,Offentlig,public,8–10,False,248,2026-09-13,8,2025-26,49,50,53,1.8,1.8,1.7,10,4.1,2025-26,10.4,2024-25,Suppressed,16.13,2025-26,40.7,2025-26,Bullying uses older published year,https://skoleoversikten.no/skoler/974610914/hoyland-ungdomsskole,974610914,False,False,58.8436,5.74179,"Austråttveien 11, 4306 SANDNES",43
974611422,Stavanger,Nylund skole,Offentlig,public,1–7,False,403,2026-09-13,5,2025-26,51,51,54,2.5,2.9,2.7,7,4,2025-26,15.5,2025-26,Published,12.31,2025-26,,,,https://skoleoversikten.no/skoler/974611422/nylund-skole,974611422,True,True,58.96482,5.7501,"Nylundsgata 1, 4014 STAVANGER",44
974610752,Sandnes,Stangeland skole,Offentlig,public,1–7,False,500,2026-09-13,5,2025-26,51,51,53,2.2,2.2,1.9,7,4.1,2025-26,13.0,2025-26,Published,12.29,2025-26,,,,https://skoleoversikten.no/skoler/974610752/stangeland-skole,974610752,True,True,58.85583,5.71595,"Solaveien 84, 4316 SANDNES",45
980030253,Sandnes,Lurahammaren ungdomsskole,Offentlig,public,8–10,False,233,2026-09-13,8,2025-26,48,50,53,2.5,2.3,2.4,10,4.1,2025-26,9.8,2024-25,Suppressed,18.49,2025-26,43.3,2025-26,Bullying uses older published year,https://skoleoversikten.no/skoler/980030253/lurahammaren-ungdomsskole,980030253,False,False,58.88156,5.74587,"Rissebærstraen 34, 4315 SANDNES",46
